Date,Open,High,Low,Close,Volume,HA_Open,HA_High,HA_Low,HA_Close,Channel_Upper,Channel_Lower,SMA_Exit,SMA_180,Median_STV,Median_Low,MACD_Hist,MACD_Anomaly,MACD_Warn_Down,MACD_Warn_Up,SAR,SpanA,SpanB,VolSMA,ADX,DI_Plus,DI_Minus,CCI,CCI_SMA,MFI,Stoch_Fast_K,Stoch_Fast_D,Stoch_Slow_K,Stoch_Slow_D,Strategy_Signal,User_Note
2014-01-10,21.15,21.17,21.15,21.17,184800,21.16,21.17,21.15,21.16,,,,,,,,0,0,0,21.15,,,,,,,,,,,,,,No signal,
2014-01-13,21.43,21.43,21.4,21.41,4100,21.16,21.43,21.16,21.417499999999997,,,,,,,,0,0,0,21.15,,,,,,,,,,,,,,No signal,
2014-01-14,21.75,21.75,21.75,21.75,2500,21.28875,21.75,21.28875,21.75,,,,,,,,0,0,0,21.15,,,,,96.66666666666673,0,,,,,,,,No signal,
2014-01-15,21.65,21.65,21.65,21.65,500,21.519375,21.65,21.519375,21.65,,,,,,,,0,0,0,21.186,,,,,77.33333333333312,20.00000000000028,,,,,,,,No signal,
2014-01-16,21.65,21.7,21.61,21.61,1300,21.5846875,21.7,21.5846875,21.6425,,,,,,,,0,0,0,21.21984,,,38640,,72.70341207349084,15.74803149606322,,,,,,,,No signal,
2014-01-17,21.65,21.65,21.65,21.65,300,21.61359375,21.65,21.61359375,21.65,,,,,,,,0,0,0,21.2516496,,,1740,,63.67816091954042,13.793103448276097,,,,,,,,No signal,
2014-01-20,21.9,22.15,21.9,22.1,4100,21.631796875,22.15,21.631796875,22.012499999999996,,,,,,,,0,0,0,21.281550624,,,1740,,89.08462867012096,4.1450777202073175,,,,,,,,No signal,
2014-01-23,21.95,21.95,21.95,21.95,600,21.822148437499997,21.95,21.822148437499997,21.95,,,,,,,,0,0,0,21.351026574080002,,,1360,,67.7569786535302,3.152709359605948,,,,,,,,No signal,
2014-01-24,22,22.11,22,22.11,600,21.886074218749997,22.11,21.886074218749997,22.055,,,,,,,,0,0,0,21.4149444481536,,,1380,,76.68708742935827,2.2795269981479125,,,,,,,,No signal,
2014-01-27,22,22,22,22,100,21.970537109374998,22,21.970537109374998,22,,,,,,,,0,0,0,21.473748892301312,,,1140,,59.64999769127765,1.7730987671422886,71.6253443526165,,,,,,,No signal,
2014-01-29,21.85,21.85,21.85,21.85,1000,21.9852685546875,21.9852685546875,21.85,21.85,,,,,,,,0,0,0,21.527848980917206,,,1280,,41.01274663872896,32.463450640506494,14.43298969072094,,,,,,,No signal,
2014-01-30,22.16,22.17,22.15,22.15,500,21.91763427734375,22.17,21.91763427734375,22.1575,,,,,,,,0,0,0,21.57762106244383,,,560,,70.5037044798251,16.233194107757612,99.25925925925816,,,,,,,No signal,
2014-01-31,21.73,21.73,21.65,21.65,600,22.037567138671875,22.037567138671875,21.65,21.689999999999998,,,,,,,,0,0,0,21.636858956199447,,,560,,32.46372235020477,61.42922774465822,-77.89473684210563,,,,,,,No signal,
2014-02-04,21.9,21.9,21.9,21.9,600,21.863783569335936,21.9,21.863783569335936,21.9,,,,,,,,0,0,0,21.65,,,560,,42.70114270723117,43.73247197223107,1.2077294685990778,,,,,,,No signal,
2014-02-05,21.8,21.8,21.8,21.8,500,21.881891784667967,21.881891784667967,21.8,21.8,,,,,,,,0,0,0,21.65,,,640,,36.40801118841151,52.024965607481185,-52.968036529678564,,73.42564688076683,,,,,No signal,
2014-02-06,22,22,22,22,2000,21.840945892333984,22,21.840945892333984,22,,21.17,,,,,,0,0,0,21.701999999999998,,,840,57.41581121628435,55.90407765277181,36.07512339866702,26.997245179065022,,69.92882045467975,65.04010695187155,,,,No signal,
2014-02-07,22.2,22.2,22.2,22.2,200,21.920472946166992,22.2,21.920472946166992,22.2,,21.41,,,,,,0,0,0,21.7488,,,780,56.7221414943824,69.7946407953619,24.71117515193277,121.62849872773407,,64.6206472351577,73.86363636363633,,,,No signal,
2014-02-12,22.5,22.5,22.5,22.5,100,22.060236473083496,22.5,22.060236473083496,22.5,,21.61,,,,,,0,0,0,21.802944,,,680,57.67887084318903,82.32330903757268,14.461400823601354,180.05952380952297,,67.4609414398048,89.88095238095234,76.26156523215342,,,No signal,
